customerID;Churn;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total
0018-IKXGC;No;Female;1;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;721;721
0019-TCJCI;Yes;Male;1;No;No;45;Yes;No;DSL;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);627;27915
0020-HGHWL;Yes;Male;1;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;251;251
0021-UYUPN;No;Female;1;Yes;No;50;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;252;13063
0022-XUOPT;Yes;Female;0;Yes;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Electronic check;941;12156
0023-KWYKW;No;Female;0;Yes;Yes;23;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8375;184995
0024-FNXPP;No;Female;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;1985;572
0025-PVLZI;Yes;Female;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2035;7635
0026-PGELS;Yes;Female;0;Yes;Yes;1;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);305;305
0027-IHMOT;No;Female;0;Yes;Yes;55;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);1037;565675
0028-HALCW;No;Male;0;Yes;Yes;54;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);204;10906
0029-JVWOJ;No;Male;0;No;No;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);196;47185
0030-RLHYP;No;Female;0;Yes;Yes;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);197;13969
0031-LUMLS;No;Male;0;Yes;Yes;37;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Credit card (automatic);912;324755
0032-PIHNL;No;Female;0;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);2045;9009
0033-DCKON;No;Male;0;Yes;No;66;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);1158;794215
0034-YNYOT;No;Female;0;No;No;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;2055;13434
0035-EPFBG;No;Male;0;Yes;Yes;20;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);394;8254
0036-QBUQH;No;Female;0;No;Yes;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Electronic check;251;107015
0037-EVZWM;No;Female;0;Yes;No;55;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);898;49596
0038-FUALY;No;Female;0;Yes;No;59;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9475;559765
0039-SUDOG;No;Female;0;Yes;Yes;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);203;2245
0040-YIJGF;No;Male;0;Yes;Yes;27;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);7575;19290
0041-DKWBL;Yes;Male;1;No;No;2;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;4925;911
0042-FIGTF;No;Female;0;No;No;27;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Mailed check;782;207895
0043-NDAFP;No;Male;0;Yes;Yes;25;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);255;6306
0044-HDKDG;No;Male;0;Yes;Yes;25;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);616;16110
0045-LVEPS;No;Male;0;No;Yes;29;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;450;124245
0046-XZMHT;No;Male;0;Yes;No;72;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);8515;63162
0047-EMYVY;No;Female;0;No;No;14;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Credit card (automatic);5145;72785
0048-OROZO;No;Female;0;No;No;35;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;9925;35320
0049-LDZUE;No;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;443;443
0050-OQIQY;No;Male;0;No;No;29;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;942;26076
0051-PIVIK;No;Male;0;No;No;64;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;One year;No;Electronic check;8125;556755
0052-IIQKO;No;Female;0;Yes;Yes;39;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);9995;37674
0053-EXYQL;No;Female;1;No;No;40;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9155;36736
0054-XWZFY;Yes;Male;0;No;No;40;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);1045;403685
0055-OIFMO;Yes;Female;1;No;No;11;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;950;11203
0056-BXERS;No;Female;0;Yes;No;6;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;5035;31455
0057-FCPUF;No;Male;0;No;No;30;Yes;Yes;DSL;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;645;188845
0058-BOWSO;No;Male;0;No;No;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;194;5298
0059-DUVFC;No;Male;1;Yes;No;70;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;1048;730895
0060-CSITQ;No;Female;0;Yes;No;57;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);1094;62527
0061-PPXDV;No;Male;0;Yes;No;58;Yes;No;DSL;No;No;Yes;No;No;No;One year;No;Credit card (automatic);503;287855
0062-GHRQR;No;Male;0;No;No;16;Yes;Yes;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);714;12121
0063-UGRDO;No;Female;0;Yes;No;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;1160;818285
0064-WESLM;Yes;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;1985;1985
0065-YHINA;Yes;Male;0;No;Yes;1;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9975;9975
0066-KLBQG;No;Male;1;Yes;Yes;32;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;9395;286145
0067-QAWRZ;No;Male;0;Yes;Yes;16;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);908;14422
0068-QWPNC;Yes;Male;0;Yes;No;49;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;8435;405935
0069-IGABW;No;Female;0;Yes;No;71;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);5825;41459
0070-PEGZZ;No;Female;0;No;No;33;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;10755;36455
0071-RSRRW;No;Female;0;Yes;No;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);1995;18775
0072-TFERT;Yes;Male;0;Yes;No;21;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1112;23171
0073-LFRMW;Yes;Male;0;Yes;Yes;37;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);402;14488
0074-JPNOY;No;Female;1;No;No;26;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);858;219365
0075-SNYRK;No;Male;0;No;No;50;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;Yes;Mailed check;354;17489
0076-OAHPZ;Yes;Female;0;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7385;51125
0077-CRBRT;No;Female;0;Yes;Yes;61;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;881;552675
0078-LZQXK;Yes;Male;0;No;No;15;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;10135;155395
0079-MKWSG;No;Female;0;No;Yes;26;No;No phone service;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;458;11470
0080-KPTWJ;No;Male;0;Yes;No;72;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9465;674735
0081-QMPDR;No;Male;0;Yes;Yes;44;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);205;86505
0082-SXOUN;No;Male;0;No;No;66;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Credit card (automatic);894;59769
0083-BMFZO;Yes;Female;0;No;No;2;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;8625;18165
0084-XWXCE;No;Female;1;No;No;44;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);7485;326805
0085-NMXAP;Yes;Female;0;No;No;12;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);8975;10524
0086-IFMYD;No;Male;1;Yes;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;10995;763425
0087-OCGAB;Yes;Female;0;No;No;1;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;802;802
0088-UDEUO;Yes;Female;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;1985;6375
0089-IVFJG;No;Female;0;Yes;No;2;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;9035;1905
0090-YEAYS;No;Female;1;No;No;27;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);8645;240105
0091-GVYSN;No;Male;0;No;No;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;203;51125
0092-ESWWR;No;Female;1;Yes;No;39;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;10125;394915
0093-DCDOS;Yes;Male;0;No;No;25;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);947;23621
0094-ONTOV;Yes;Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;709;709
0095-FVPTA;Yes;Male;0;Yes;No;22;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;542;11527
0096-APGRB;No;Female;0;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;1149;84967
0097-XAIRP;No;Female;0;No;No;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);1955;4702
0098-XZKBB;No;Female;0;Yes;No;19;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8685;15644
0099-QRVVY;No;Male;0;Yes;Yes;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);2535;184755
0100-PXBAT;No;Male;1;Yes;No;33;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1099;36947
0101-CIIKR;No;Female;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;1995;580
0102-SZBHO;No;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;872;401745
0103-RITDD;No;Male;0;Yes;Yes;62;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;10815;682565
0104-CAERR;No;Male;0;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);1163;830955
0105-QSXOE;No;Male;1;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;890;60545
0106-WZNAB;No;Female;0;Yes;Yes;27;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;744;197235
0107-GWFLE;No;Male;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2005;337
0108-EQUUH;No;Female;0;No;Yes;25;No;No phone service;DSL;Yes;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);3505;84445
0109-ZHSKZ;No;Male;1;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;7475;21113
0110-ESZXP;Yes;Female;1;Yes;No;58;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);1055;62055
0111-IESCP;Yes;Male;0;Yes;No;10;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;8525;8553
0112-JTUQI;No;Female;0;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);752;63385
0113-VULGZ;Yes;Female;1;Yes;No;6;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;8435;4749
0114-PNKNK;No;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;No;Bank transfer (automatic);8445;58486
0115-MIBOL;No;Female;1;No;No;66;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);1024;647185
0116-OAMXR;Yes;Female;0;No;No;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);11555;81276
0117-HHYIJ;Yes;Male;0;No;No;25;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);253;67635
0118-OYVOC;No;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;1925;8642
0119-TBWLC;No;Female;0;Yes;No;54;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;11465;60495
0120-MDKNV;Yes;Female;0;No;No;15;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;1051;158275
0121-BPQEJ;No;Female;0;Yes;Yes;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);194;1981
0122-ISBBF;No;Female;0;No;No;22;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;5035;109885
0123-JHPFW;No;Female;0;Yes;No;70;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);578;40393
0124-BQKGS;No;Male;0;No;No;30;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);843;24386
0125-QNVAS;No;Male;0;Yes;Yes;71;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);10055;711375
0126-QAERP;No;Male;0;Yes;No;30;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);198;57665
0127-YTZUE;Yes;Male;0;Yes;Yes;4;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);848;3719
0128-EBGCE;Yes;Male;0;No;No;2;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;8585;1673
0129-NAUXK;No;Male;0;No;Yes;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);1995;2195
0130-WMXNQ;No;Male;1;No;No;4;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;7535;2734
0131-CNVPT;No;Male;1;No;No;52;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);488;255505
0132-HJAPT;Yes;Male;0;No;No;5;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;4715;22315
0133-NIJLP;No;Male;0;Yes;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;2015;1655
0134-RLWWD;No;Female;1;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;443;893
0135-ZORZP;No;Male;0;No;No;3;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;843;23505
0136-MAUWC;No;Male;0;No;No;19;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;5955;11446
0137-LFJAF;No;Male;0;No;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);6965;490825
0138-UBYPQ;No;Male;1;Yes;No;63;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);361;22989
0139-WEQUW;No;Male;0;Yes;No;66;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);566;37892
0140-LXVAP;Yes;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;759;759
0141-FTHAV;No;Female;0;No;No;60;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;One year;Yes;Bank transfer (automatic);792;47650
0142-TEVTT;No;Female;0;Yes;Yes;48;No;No phone service;DSL;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);450;21963
0143-KGSLC;Yes;Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);8555;8555
0144-HFWSV;Yes;Male;0;No;No;15;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9335;144465
0145-YFUTL;No;Female;0;Yes;No;50;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);10965;54058
0146-WHBIQ;No;Male;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);897;63393
0147-OXEXL;No;Female;0;No;No;46;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;8425;38476
0148-LGNFY;No;Female;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);9265;67330
0149-SLUJI;No;Male;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;197;197
0150-IPDFW;No;Female;0;No;No;1;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;501;501
0151-PGHBZ;No;Female;1;No;No;67;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);9245;614085
0152-ZTEOB;No;Female;0;Yes;Yes;48;Yes;Yes;DSL;No;Yes;No;Yes;Yes;Yes;Two year;No;Electronic check;7965;38703
0153-FNMCI;No;Female;0;No;No;72;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;1099;76242
0154-KCJGT;No;Male;0;Yes;No;52;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);814;435445
0155-WWRKD;No;Female;0;Yes;Yes;67;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Credit card (automatic);5055;343175
0156-LTHVJ;Yes;Female;0;Yes;Yes;28;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;8105;22271
0157-KXZGU;No;Female;0;Yes;Yes;32;Yes;Yes;DSL;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);6245;204555
0158-ZESQC;Yes;Female;1;Yes;No;27;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);752;192935
0159-NOKBL;No;Male;0;No;No;3;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;No;Electronic check;904;26845
0160-GBZSH;Yes;Male;0;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8565;1815
0161-ZDLGK;Yes;Female;0;No;Yes;9;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Mailed check;729;6514
0162-FJTQO;No;Male;0;Yes;Yes;50;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);705;348665
0163-CNITK;No;Female;0;Yes;Yes;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);201;13896
0164-EDXBD;Yes;Male;1;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;749;230335
0165-PSUAE;No;Female;0;Yes;Yes;16;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);1007;15227
0166-CLZKZ;No;Female;0;Yes;Yes;67;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);10565;67179
0167-GMEAO;No;Male;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);1143;805855
0168-QKIWO;Yes;Female;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;1975;5885
0169-XFESX;No;Male;0;Yes;Yes;23;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;2435;5385
0170-THENM;No;Male;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);6985;510235
0171-JKUJR;No;Male;0;Yes;Yes;7;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;5885;4657
0172-BKSQP;No;Male;0;Yes;Yes;8;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;544;4751
0173-ORXQS;No;Male;0;Yes;Yes;66;No;No phone service;DSL;No;No;No;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);5055;336455
0174-YXOOG;Yes;Male;0;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2105;11385
